category,path
Animals,/Animals/Pets
Animals,/Animals/Pets/Exotic Pets
Animals,/Animals/Pets/Pet Food & Supplies
Animals,/Animals/Veterinarians
Animals,/Animals/Wildlife
Arts & Humanities,/Arts & Humanities/Books & Literature
Arts & Humanities,/Arts & Humanities/Books & Literature/Book Retailers
Arts & Humanities,/Arts & Humanities/Books & Literature/E-Books
Arts & Humanities,/Arts & Humanities/Books & Literature/Fan Fiction
Arts & Humanities,/Arts & Humanities/Books & Literature/Poetry
Arts & Humanities,/Arts & Humanities/Humanities
Arts & Humanities,/Arts & Humanities/Humanities/History
Arts & Humanities,/Arts & Humanities/Humanities/Myth & Folklore
Arts & Humanities,/Arts & Humanities/Theater & Performing Arts
Arts & Humanities,/Arts & Humanities/Visual Arts
Automotive,/Automotive/Auto Financing
Automotive,/Automotive/Auto Insurance
Automotive,/Automotive/Auto Parts
Automotive,/Automotive/Auto Parts/Vehicle Tires
Automotive,/Automotive/Car Shows
Automotive,/Automotive/Car Stereo
Automotive,/Automotive/Custom & Performance Vehicles
Automotive,/Automotive/Hybrid & Alternative Vehicles
Automotive,/Automotive/Motorcycles
Automotive,/Automotive/Off-Road & Recreational Vehicles
Automotive,/Automotive/Trucks & SUVs
Automotive,/Automotive/Vehicle Brands
Automotive,/Automotive/Vehicle Brands/Acura
Automotive,/Automotive/Vehicle Brands/Audi
Automotive,/Automotive/Vehicle Brands/BMW
Automotive,/Automotive/Vehicle Brands/Cadillac
Automotive,/Automotive/Vehicle Brands/Chevrolet
Automotive,/Automotive/Vehicle Brands/Chrysler
Automotive,/Automotive/Vehicle Brands/Citroen
Automotive,/Automotive/Vehicle Brands/Dodge
Automotive,/Automotive/Vehicle Brands/Fiat
Automotive,/Automotive/Vehicle Brands/Ford
Automotive,/Automotive/Vehicle Brands/GMC
Automotive,/Automotive/Vehicle Brands/Honda
Automotive,/Automotive/Vehicle Brands/Hyundai
Automotive,/Automotive/Vehicle Brands/Jeep
Automotive,/Automotive/Vehicle Brands/Kia
Automotive,/Automotive/Vehicle Brands/Lexus
