name,criteriacode,displaycode
Arabic,ar,ar
Bulgarian,bg,bg
Catalan,ca,ca
Chinese (simplified),zh_CN,zh_CN
Chinese (traditional),zh_TW,zh_TW
Croatian,hr,hr
Czech,cs,cs
Danish,da,da
Dutch,nl,nl
English,en,
English (Australia),,en_AU
English (UK),,en_GB
English (US),,en_US
Estonian,et,et
Filipino,tl,tl
Finnish,fi,fi
French,fr,fr
German,de,de
Greek,el,el
Hebrew,iw,iw
Hindi,hi,hi
Hungarian,hu,hu
Icelandic,is,is
Indonesian,id,id
Italian,it,it
Japanese,ja,ja
Korean,ko,ko
Latvian,lv,lv
Lithuanian,lt,lt
Norwegian,no,no
Polish,pl,pl
Portuguese,pt,
Portuguese (Brazil),,pt_BR
Portuguese (Portugal),,pt_PT
Romanian,ro,ro
Russian,ru,ru
Serbian,sr,sr
Slovak,sk,sk
Slovenian,sl,sl
Spanish,es,es
Swedish,sv,sv
Thai,th,th
Turkish,tr,tr
Ukrainian,uk,uk
Urdu,ur,ur
Vietnamese,vi,vi
