service,method,rate,per_item
AccountService,getAccountInfo,1,false
AccountService,getClientAccounts,1,true
AccountService,setLoginInfo,1,false
AccountService,updateAccountInfo,1,false
AdGroupService,addAdGroup,1,false
AdGroupService,addAdGroupList,1,true
AdGroupService,getAdGroup,1,false
AdGroupService,getAdGroupList,1,true
AdGroupService,getAdGroupStats,1,true
AdGroupService,getAllAdGroups,1,true
AdGroupService,updateAdGroup,10,false
AdGroupService,updateAdGroupList,10,true
AdService,addAds,50,true
AdService,checkAds,1,true
AdService,findBusinesses,1,true
AdService,getActiveAds,1,true
AdService,getAd,1,false
AdService,getAdStats,1,true
AdService,getAllAds,1,true
AdService,getMyBusinesses,1,true
AdService,getMyVideos,1,true
AdService,updateAds,1,true
CampaignService,addCampaign,1,false
CampaignService,addCampaignList,1,true
CampaignService,getAllAdWordsCampaigns,1,true
CampaignService,getCampaign,1,false
CampaignService,getCampaignList,1,true
CampaignService,getCampaignStats,1,true
CampaignService,getOptimizeAdServing,1,false
CampaignService,setOptimizeAdServing,1,false
CampaignService,updateCampaign,1,false
CampaignService,updateCampaignList,1,true
CriterionService,addCriteria,20,true
CriterionService,checkCriteria,1,true
CriterionService,getAllCriteria,1,true
CriterionService,getCampaignNegativeCriteria,1,true
CriterionService,getCriteria,1,true
CriterionService,getCriterionStats,1,true
CriterionService,removeCriteria,1,true
CriterionService,setCampaignNegativeCriteria,1,true
CriterionService,updateCriteria,3,true
InfoService,getFreeUsageQuotaThisMonth,1,false
InfoService,getMethodCost,1,false
InfoService,getOperationCount,1,false
InfoService,getOperationsQuotaThisMonth,1,false
InfoService,getUnitCount,1,false
InfoService,getUnitCountForClients,1,true
InfoService,getUnitCountForMethod,1,false
InfoService,getUsageQuotaThisMonth,1,false
KeywordToolService,getKeywordsFromSite,20,false
KeywordToolService,getKeywordVariations,20,false
ReportService,deleteReport,1,false
ReportService,getAllJobs,1,true
ReportService,getGzipReportDownloadUrl,1,false
ReportService,getReportDownloadUrl,1,false
ReportService,getReportJobStatus,1,false
ReportService,scheduleReportJob,500,false
ReportService,validateReportJob,1,false
SiteSuggestionService,getSitesByCategoryName,1,false
SiteSuggestionService,getSitesByDemographics,1,false
SiteSuggestionService,getSitesByTopics,1,false
SiteSuggestionService,getSitesByUrls,1,false
TrafficEstimatorService,checkKeywordTraffic,1,true
TrafficEstimatorService,estimateAdGroupList,20,true
TrafficEstimatorService,estimateCampaignList,20,true
TrafficEstimatorService,estimateKeywordList,20,true
