state,code
Alaska (AK),"Anchorage, AK US"
Alaska (AK),"Anderson, AK US"
Alaska (AK),"Angoon, AK US"
Alaska (AK),"Atqasuk, AK US"
Alaska (AK),"Barrow, AK US"
Alaska (AK),"Bethel, AK US"
Alaska (AK),"Clear, AK US"
Alaska (AK),"Cordova, AK US"
Alaska (AK),"Craig, AK US"
Alaska (AK),"Delta Junction, AK US"
Alaska (AK),"Dillingham, AK US"
Alaska (AK),"Eagle River, AK US"
Alaska (AK),"Eielson Afb, AK US"
Alaska (AK),"Elmendorf Afb, AK US"
Alaska (AK),"Fairbanks, AK US"
Alaska (AK),"Galena, AK US"
Alaska (AK),"Girdwood, AK US"
Alaska (AK),"Glennallen, AK US"
Alaska (AK),"Gustavus, AK US"
Alaska (AK),"Haines, AK US"
Alaska (AK),"Healy, AK US"
Alaska (AK),"Homer, AK US"
Alaska (AK),"Hoonah, AK US"
Alaska (AK),"Juneau, AK US"
Alaska (AK),"Kenai, AK US"
Alaska (AK),"Ketchikan, AK US"
Alaska (AK),"Klawock, AK US"
Alaska (AK),"Kodiak, AK US"
Alaska (AK),"Kotzebue, AK US"
Alaska (AK),"Mc Grath, AK US"
Alaska (AK),"Metlakatla, AK US"
Alaska (AK),"Mountain Village, AK US"
Alaska (AK),"Nikiski, AK US"
Alaska (AK),"Nome, AK US"
Alaska (AK),"North Pole, AK US"
Alaska (AK),"Palmer, AK US"
Alaska (AK),"Pelican, AK US"
Alaska (AK),"Petersburg, AK US"
Alaska (AK),"Port Lions, AK US"
Alaska (AK),"Seward, AK US"
Alaska (AK),"Sitka, AK US"
Alaska (AK),"Skagway, AK US"
Alaska (AK),"Soldotna, AK US"
Alaska (AK),"St Paul Island, AK US"
Alaska (AK),"Tanacross, AK US"
Alaska (AK),"Thorne Bay, AK US"
Alaska (AK),"Tok, AK US"
Alaska (AK),"Tununak, AK US"
Alaska (AK),"Unalaska, AK US"
Alaska (AK),"Valdez, AK US"
Alaska (AK),"Wasilla, AK US"
Alaska (AK),"Whittier, AK US"
Alaska (AK),"Wrangell, AK US"
Alaska (AK),"Yakutat, AK US"
Alabama (AL),"Abbeville, AL US"
Alabama (AL),"Adamsville, AL US"
Alabama (AL),"Addison, AL US"
Alabama (AL),"Adger, AL US"
Alabama (AL),"Alabaster, AL US"
Alabama (AL),"Albertville, AL US"
Alabama (AL),"Alexander City, AL US"
Alabama (AL),"Alexandria, AL US"
Alabama (AL),"Allgood, AL US"
Alabama (AL),"Alpine, AL US"
Alabama (AL),"Andalusia, AL US"
Alabama (AL),"Anniston, AL US"
Alabama (AL),"Arab, AL US"
Alabama (AL),"Arlington, AL US"
Alabama (AL),"Ashford, AL US"
Alabama (AL),"Ashland, AL US"
Alabama (AL),"Ashville, AL US"
Alabama (AL),"Athens, AL US"
Alabama (AL),"Atmore, AL US"
Alabama (AL),"Attalla, AL US"
Alabama (AL),"Auburn, AL US"
Alabama (AL),"Auburn University, AL US"
Alabama (AL),"Autaugaville, AL US"
Alabama (AL),"Axis, AL US"
Alabama (AL),"Bay Minette, AL US"
Alabama (AL),"Berry, AL US"
Alabama (AL),"Bessemer, AL US"
Alabama (AL),"Birmingham, AL US"
Alabama (AL),"Blountsville, AL US"
Alabama (AL),"Boaz, AL US"
Alabama (AL),"Bremen, AL US"
Alabama (AL),"Brewton, AL US"
Alabama (AL),"Brookwood, AL US"
Alabama (AL),"Brownsboro, AL US"
Alabama (AL),"Bucks, AL US"
Alabama (AL),"Buhl, AL US"
Alabama (AL),"Butler, AL US"
Alabama (AL),"Calera, AL US"
Alabama (AL),"Calhoun County, AL US"
Alabama (AL),"Camden, AL US"
Alabama (AL),"Carrollton, AL US"
Alabama (AL),"Centre, AL US"
Alabama (AL),"Centreville, AL US"
Alabama (AL),"Chapman, AL US"
Alabama (AL),"Chelsea, AL US"
Alabama (AL),"Cherokee, AL US"
Alabama (AL),"Childersburg, AL US"
Alabama (AL),"Clanton, AL US"
Alabama (AL),"Clayton, AL US"
Alabama (AL),"Clio, AL US"
Alabama (AL),"Coffeeville, AL US"
Alabama (AL),"Columbia, AL US"
Alabama (AL),"Columbiana, AL US"
Alabama (AL),"Cottondale, AL US"
Alabama (AL),"Cottonwood, AL US"
Alabama (AL),"Cowarts, AL US"
Alabama (AL),"Creola, AL US"
Alabama (AL),"Crossville, AL US"
Alabama (AL),"Cullman, AL US"
Alabama (AL),"Daleville, AL US"
Alabama (AL),"Daphne, AL US"
Alabama (AL),"Dauphin Island, AL US"
Alabama (AL),"Deatsville, AL US"
Alabama (AL),"Decatur, AL US"
Alabama (AL),"Demopolis, AL US"
Alabama (AL),"Dixons Mills, AL US"
Alabama (AL),"Dothan, AL US"
Alabama (AL),"Eastaboga, AL US"
Alabama (AL),"Eclectic, AL US"
Alabama (AL),"Eight Mile, AL US"
Alabama (AL),"Elba, AL US"
Alabama (AL),"Elberta, AL US"
Alabama (AL),"Enterprise, AL US"
Alabama (AL),"Eufaula, AL US"
Alabama (AL),"Eutaw, AL US"
Alabama (AL),"Evergreen, AL US"
Alabama (AL),"Excel, AL US"
Alabama (AL),"Fairfield, AL US"
Alabama (AL),"Fairhope, AL US"
Alabama (AL),"Fayette, AL US"
Alabama (AL),"Florence, AL US"
Alabama (AL),"Foley, AL US"
Alabama (AL),"Fruitdale, AL US"
Alabama (AL),"Ft Deposit, AL US"
Alabama (AL),"Ft Payne, AL US"
Alabama (AL),"Ft Rucker, AL US"
Alabama (AL),"Fulton, AL US"
Alabama (AL),"Fultondale, AL US"
Alabama (AL),"Gadsden, AL US"
Alabama (AL),"Gardendale, AL US"
Alabama (AL),"Geneva, AL US"
Alabama (AL),"Glenwood, AL US"
Alabama (AL),"Goodwater, AL US"
Alabama (AL),"Gordo, AL US"
Alabama (AL),"Grand Bay, AL US"
Alabama (AL),"Graysville, AL US"
Alabama (AL),"Greensboro, AL US"
Alabama (AL),"Greenville, AL US"
Alabama (AL),"Grove Hill, AL US"
Alabama (AL),"Guin, AL US"
Alabama (AL),"Gulf Shores, AL US"
