state,metro,code
Alaska (AK),Anchorage AK,743
Alaska (AK),Fairbanks AK,745
Alaska (AK),Juneau AK,747
Alabama (AL),Birmingham AL,630
Alabama (AL),Dothan AL,606
Alabama (AL),Huntsville-Decatur (Florence) AL,691
Alabama (AL),Mobile AL-Pensacola (Ft. Walton Beach) FL,686
Alabama (AL),Montgomery (Selma) AL,698
Arkansas (AR),Ft. Smith-Fayetteville-Springdale-Rogers AR,670
Arkansas (AR),Jonesboro AR,734
Arkansas (AR),Little Rock-Pine Bluff AR,693
Arkansas (AR),Monroe LA-El Dorado AR,628
Arizona (AZ),Phoenix AZ,753
Arizona (AZ),Tucson (Sierra Vista) AZ,789
Arizona (AZ),Yuma AZ-El Centro CA,771
California (CA),Bakersfield CA,800
California (CA),Chico-Redding CA,868
California (CA),Eureka CA,802
California (CA),Fresno-Visalia CA,866
California (CA),Los Angeles CA,803
California (CA),Monterey-Salinas CA,828
California (CA),Palm Springs CA,804
California (CA),Sacramento-Stockton-Modesto CA,862
California (CA),San Diego CA,825
California (CA),San Francisco-Oakland-San Jose CA,807
California (CA),Santa Barbara-Santa Maria-San Luis Obispo CA,855
California (CA),Yuma AZ-El Centro CA,771
Colorado (CO),Colorado Springs-Pueblo CO,752
Colorado (CO),Denver CO,751
Colorado (CO),Grand Junction-Montrose CO,773
Connecticut (CT),Hartford & New Haven CT,533
District of Columbia (DC),Washington DC (Hagerstown MD),511
Florida (FL),Ft. Myers-Naples FL,571
Florida (FL),Gainesville FL,592
Florida (FL),Jacksonville FL,561
Florida (FL),Miami-Ft. Lauderdale FL,528
Florida (FL),Mobile AL-Pensacola (Ft. Walton Beach) FL,686
Florida (FL),Orlando-Daytona Beach-Melbourne FL,534
Florida (FL),Panama City FL,656
Florida (FL),Tallahassee FL-Thomasville GA,530
Florida (FL),Tampa-St. Petersburg (Sarasota) FL,539
Florida (FL),West Palm Beach-Ft. Pierce FL,548
Georgia (GA),Albany GA,525
Georgia (GA),Atlanta GA,524
Georgia (GA),Augusta GA,520
Georgia (GA),Columbus GA,522
Georgia (GA),Macon GA,503
Georgia (GA),Savannah GA,507
Georgia (GA),Tallahassee FL-Thomasville GA,530
Hawaii (HI),Honolulu HI,744
Iowa (IA),Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637
Iowa (IA),Davenport IA-Rock Island-Moline IL,682
Iowa (IA),Des Moines-Ames IA,679
Iowa (IA),Ottumwa IA-Kirksville MO,631
Iowa (IA),Quincy IL-Hannibal MO-Keokuk IA,717
Iowa (IA),Rochester MN-Mason City IA-Austin MN,611
Iowa (IA),Sioux City IA,624
Idaho (ID),Boise ID,757
Idaho (ID),Idaho Falls-Pocatello ID,758
Idaho (ID),Twin Falls ID,760
Illinois (IL),"Champaign & Springfield-Decatur,IL",648
Illinois (IL),Chicago IL,602
Illinois (IL),Davenport IA-Rock Island-Moline IL,682
Illinois (IL),Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632
Illinois (IL),Peoria-Bloomington IL,675
Illinois (IL),Quincy IL-Hannibal MO-Keokuk IA,717
Illinois (IL),Rockford IL,610
Indiana (IN),Evansville IN,649
Indiana (IN),Ft. Wayne IN,509
Indiana (IN),Indianapolis IN,527
Indiana (IN),Lafayette IN,582
Indiana (IN),South Bend-Elkhart IN,588
Indiana (IN),Terre Haute IN,581
Kansas (KS),Joplin MO-Pittsburg KS,603
Kansas (KS),Topeka KS,605
Kansas (KS),Wichita-Hutchinson KS,678
Kentucky (KY),Bowling Green KY,736
Kentucky (KY),Lexington KY,541
Kentucky (KY),Louisville KY,529
Kentucky (KY),Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632
Louisiana (LA),Alexandria LA,644
Louisiana (LA),Baton Rouge LA,716
Louisiana (LA),Lafayette LA,642
Louisiana (LA),Lake Charles LA,643
Louisiana (LA),Monroe LA-El Dorado AR,628
Louisiana (LA),New Orleans LA,622
Louisiana (LA),Shreveport LA,612
Massachusetts (MA),Boston MA-Manchester NH,506
Massachusetts (MA),Providence RI-New Bedford MA,521
Massachusetts (MA),Springfield-Holyoke MA,543
Maryland (MD),Baltimore MD,512
Maryland (MD),Salisbury MD,576
Maryland (MD),Washington DC (Hagerstown MD),511
Maine (ME),Bangor ME,537
Maine (ME),Portland-Auburn ME,500
Maine (ME),Presque Isle ME,552
Michigan (MI),Alpena MI,583
Michigan (MI),Detroit MI,505
Michigan (MI),Flint-Saginaw-Bay City MI,513
Michigan (MI),Grand Rapids-Kalamazoo-Battle Creek MI,563
Michigan (MI),Lansing MI,551
Michigan (MI),Marquette MI,553
Michigan (MI),Traverse City-Cadillac MI,540
Minnesota (MN),Duluth MN-Superior WI,676
Minnesota (MN),Mankato MN,737
Minnesota (MN),Minneapolis-St. Paul MN,613
Minnesota (MN),Rochester MN-Mason City IA-Austin MN,611
Missouri (MO),Columbia-Jefferson City MO,604
Missouri (MO),Joplin MO-Pittsburg KS,603
Missouri (MO),Kansas City MO,616
Missouri (MO),Ottumwa IA-Kirksville MO,631
Missouri (MO),Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632
Missouri (MO),Quincy IL-Hannibal MO-Keokuk IA,717
Missouri (MO),Springfield MO,619
Missouri (MO),St. Joseph MO,638
Missouri (MO),St. Louis MO,609
Mississippi (MS),Biloxi-Gulfport MS,746
Mississippi (MS),Columbus-Tupelo-West Point MS,673
Mississippi (MS),Greenwood-Greenville MS,647
